"pattern","zero","replicate","method","metrics","value","f"
"bc_pattern",30,13,"BayesCafe","ARI",0.936770325593494,1.5
"bc_pattern",30,13,"BayesCafe","ARI",0.936770325593494,2
"bc_pattern",30,14,"BayesCafe","ARI",0.968128032900095,0
"bc_pattern",30,14,"BayesCafe","ARI",0.983999746064582,0.5
"bc_pattern",30,14,"BayesCafe","ARI",0.968128,1
"bc_pattern",30,14,"BayesCafe","ARI",0.983999746064582,1.5
"bc_pattern",30,14,"BayesCafe","ARI",0.936770325593494,2
"bc_pattern",30,15,"BayesCafe","ARI",0.936770064516129,0
"bc_pattern",30,15,"BayesCafe","ARI",0.952384786481345,0.5
"bc_pattern",30,15,"BayesCafe","ARI",0.968128,1
"bc_pattern",30,15,"BayesCafe","ARI",0.936770129785672,1.5
"bc_pattern",30,15,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",30,16,"BayesCafe","ARI",0.921284053791875,0
"bc_pattern",30,16,"BayesCafe","ARI",0.905926193548387,0.5
"bc_pattern",30,16,"BayesCafe","ARI",0.717971427620277,1
"bc_pattern",30,16,"BayesCafe","ARI",0.936770325593494,1.5
"bc_pattern",30,16,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",30,17,"BayesCafe","ARI",0.759424014864133,0
"bc_pattern",30,17,"BayesCafe","ARI",0.952384884783493,0.5
"bc_pattern",30,17,"BayesCafe","ARI",0.952384884783493,1
"bc_pattern",30,17,"BayesCafe","ARI",0.952384786481345,1.5
"bc_pattern",30,17,"BayesCafe","ARI",0.860626020470967,2
"bc_pattern",30,18,"BayesCafe","ARI",0.84578064516129,0
"bc_pattern",30,18,"BayesCafe","ARI",0.905926193548387,0.5
"bc_pattern",30,18,"BayesCafe","ARI",0.84578064516129,1
"bc_pattern",30,18,"BayesCafe","ARI",0.921284378810459,1.5
"bc_pattern",30,18,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",30,19,"BayesCafe","ARI",0.983999746064582,0
"bc_pattern",30,19,"BayesCafe","ARI",0.983999746064582,0.5
"bc_pattern",30,19,"BayesCafe","ARI",0.983999746064582,1
"bc_pattern",30,19,"BayesCafe","ARI",0.968128032900095,1.5
"bc_pattern",30,19,"BayesCafe","ARI",0.952384884783493,2
"bc_pattern",30,20,"BayesCafe","ARI",0.875596515513274,0
"bc_pattern",30,20,"BayesCafe","ARI",0.921283891281576,0.5
"bc_pattern",30,20,"BayesCafe","ARI",0.968128,1
"bc_pattern",30,20,"BayesCafe","ARI",1,1.5
"bc_pattern",30,20,"BayesCafe","ARI",1,2
"bc_pattern",30,21,"BayesCafe","ARI",0.968128,0
"bc_pattern",30,21,"BayesCafe","ARI",0.983999746064582,0.5
"bc_pattern",30,21,"BayesCafe","ARI",0.983999746064582,1
"bc_pattern",30,21,"BayesCafe","ARI",1,1.5
"bc_pattern",30,21,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",30,22,"BayesCafe","ARI",0.921283891281576,0
"bc_pattern",30,22,"BayesCafe","ARI",0.968128032900095,0.5
"bc_pattern",30,22,"BayesCafe","ARI",1,1
"bc_pattern",30,22,"BayesCafe","ARI",1,1.5
"bc_pattern",30,22,"BayesCafe","ARI",0.983999746064582,2
"bc_pattern",30,23,"BayesCafe","ARI",0.936770129785672,0
"bc_pattern",30,23,"BayesCafe","ARI",0.952384884783493,0.5
"bc_pattern",30,23,"BayesCafe","ARI",0.983999746064582,1
"bc_pattern",30,23,"BayesCafe","ARI",0.983999746064582,1.5
"bc_pattern",30,23,"BayesCafe","ARI",0.921284053791875,2
"bc_pattern",30,24,"BayesCafe","ARI",0.845780804355299,0
"bc_pattern",30,24,"BayesCafe","ARI",0.905927067516276,0.5
"bc_pattern",30,24,"BayesCafe","ARI",0.952384884783493,1
"bc_pattern",30,24,"BayesCafe","ARI",0.952384884783493,1.5
"bc_pattern",30,24,"BayesCafe","ARI",0.952384884783493,2
"bc_pattern",30,25,"BayesCafe","ARI",0.890697286122432,0
"bc_pattern",30,25,"BayesCafe","ARI",0.905926193548387,0.5
"bc_pattern",30,25,"BayesCafe","ARI",0.968128,1
"bc_pattern",30,25,"BayesCafe","ARI",0.00012853044204955,1.5
"bc_pattern",30,25,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",30,26,"BayesCafe","ARI",0.921283891281576,0
"bc_pattern",30,26,"BayesCafe","ARI",0.952384786481345,0.5
"bc_pattern",30,26,"BayesCafe","ARI",0.936770129785672,1
"bc_pattern",30,26,"BayesCafe","ARI",1,1.5
"bc_pattern",30,26,"BayesCafe","ARI",1,2
"bc_pattern",30,27,"BayesCafe","ARI",0.860624581775165,0
"bc_pattern",30,27,"BayesCafe","ARI",0.952384786481345,0.5
"bc_pattern",30,27,"BayesCafe","ARI",0.936770129785672,1
"bc_pattern",30,27,"BayesCafe","ARI",0.921283891281576,1.5
"bc_pattern",30,27,"BayesCafe","ARI",0.00038561561218798,2
"bc_pattern",30,28,"BayesCafe","ARI",0.905927067516276,0
"bc_pattern",30,28,"BayesCafe","ARI",0.968128032900095,0.5
"bc_pattern",30,28,"BayesCafe","ARI",0.968128032900095,1
"bc_pattern",30,28,"BayesCafe","ARI",0.968128032900095,1.5
"bc_pattern",30,28,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",30,29,"BayesCafe","ARI",0.952384786481345,0
"bc_pattern",30,29,"BayesCafe","ARI",0.936770129785672,0.5
"bc_pattern",30,29,"BayesCafe","ARI",0.968128,1
"bc_pattern",30,29,"BayesCafe","ARI",0.952384884783493,1.5
