"data","model","mse"
"mouse_olfactory_bulb","ZINB",6.90910971223022
"mouse_olfactory_bulb","ZINB",6.87319604316547
"mouse_olfactory_bulb","ZINB",6.87691007194245
"mouse_olfactory_bulb","ZINB",6.84488669064748
"mouse_olfactory_bulb","ZINB",6.86605215827338
"mouse_olfactory_bulb","ZINB",6.99625179856115
"mouse_olfactory_bulb","ZINB",6.79365467625899
"mouse_olfactory_bulb","ZINB",7.09407194244604
"mouse_olfactory_bulb","ZINB",6.92812949640288
"mouse_olfactory_bulb","ZINB",7.00750539568345
"mouse_olfactory_bulb","ZINB",7.04604676258993
"mouse_olfactory_bulb","ZINB",7.02248201438849
"mouse_olfactory_bulb","ZINB",6.88581115107914
"mouse_olfactory_bulb","ZINB",6.87977338129496
"mouse_olfactory_bulb","ZINB",7.07948381294964
"mouse_olfactory_bulb","ZINB",7.01255935251799
"mouse_olfactory_bulb","ZINB",7.04278237410072
"mouse_olfactory_bulb","ZINB",7.02642446043165
"mouse_olfactory_bulb","ZINB",6.95124460431655
"mouse_olfactory_bulb","ZINB",6.9658309352518
"mouse_olfactory_bulb","ZINB",6.84812949640288
"mouse_olfactory_bulb","ZINB",6.90205395683453
"mouse_olfactory_bulb","ZINB",6.87276438848921
"mouse_olfactory_bulb","ZINB",6.91003956834532
"mouse_olfactory_bulb","ZINB",7.02732913669065
"mouse_olfactory_bulb","ZINB",6.96130935251799
"mouse_olfactory_bulb","ZINB",6.91803956834532
"mouse_olfactory_bulb","ZINB",7.01446223021583
"mouse_olfactory_bulb","ZINB",7.05699100719425
"mouse_olfactory_bulb","ZINB",6.92556474820144
"mouse_olfactory_bulb","ZINB",6.81489028776978
"mouse_olfactory_bulb","ZINB",7.0018309352518
"mouse_olfactory_bulb","ZINB",7.02131654676259
"mouse_olfactory_bulb","ZINB",6.9595809352518
"mouse_olfactory_bulb","ZINB",6.99977517985611
"mouse_olfactory_bulb","ZINB",7.08946043165468
"mouse_olfactory_bulb","ZINB",7.09053057553957
"mouse_olfactory_bulb","ZINB",7.01080395683453
"mouse_olfactory_bulb","ZINB",6.96405035971223
"mouse_olfactory_bulb","ZINB",7.06642625899281
"mouse_olfactory_bulb","ZINB",6.94834532374101
"mouse_olfactory_bulb","ZINB",7.08135071942446
"mouse_olfactory_bulb","ZINB",6.92443884892086
"mouse_olfactory_bulb","ZINB",6.87765827338129
"mouse_olfactory_bulb","ZINB",6.83955395683453
"mouse_olfactory_bulb","ZINB",6.92162769784173
"mouse_olfactory_bulb","ZINB",6.96419784172662
"mouse_olfactory_bulb","ZINB",6.89206474820144
"mouse_olfactory_bulb","ZINB",6.9855
"mouse_olfactory_bulb","ZINB",7.01782014388489
"mouse_olfactory_bulb","ZINB",6.81310431654676
"mouse_olfactory_bulb","ZINB",7.06148920863309
"mouse_olfactory_bulb","ZINB",6.89509172661871
"mouse_olfactory_bulb","ZINB",7.04098381294964
"mouse_olfactory_bulb","ZINB",6.91062230215827
"mouse_olfactory_bulb","ZINB",7.02512949640288
"mouse_olfactory_bulb","ZINB",6.91520683453237
"mouse_olfactory_bulb","ZINB",7.05014748201439
"mouse_olfactory_bulb","ZINB",7.14697482014389
"mouse_olfactory_bulb","ZINB",7.04277697841727
"mouse_olfactory_bulb","ZINB",6.91426978417266
"mouse_olfactory_bulb","ZINB",7.10860971223022
"mouse_olfactory_bulb","ZINB",6.90734712230216
"mouse_olfactory_bulb","ZINB",7.03173381294964
"mouse_olfactory_bulb","ZINB",7.01556834532374
"mouse_olfactory_bulb","ZINB",7.01342086330935
"mouse_olfactory_bulb","ZINB",6.83519964028777
"mouse_olfactory_bulb","ZINB",6.90346043165468
"mouse_olfactory_bulb","ZINB",6.91151618705036
"mouse_olfactory_bulb","ZINB",7.07327697841727
"mouse_olfactory_bulb","ZINB",7.02520503597122
"mouse_olfactory_bulb","ZINB",7.10989568345324
"mouse_olfactory_bulb","ZINB",7.02508633093525
"mouse_olfactory_bulb","ZINB",7.08730215827338
"mouse_olfactory_bulb","ZINB",7.07334352517986
"mouse_olfactory_bulb","ZINB",6.98350179856115
"mouse_olfactory_bulb","ZINB",6.92776978417266
"mouse_olfactory_bulb","ZINB",7.0394190647482
"mouse_olfactory_bulb","ZINB",6.91336870503597
"mouse_olfactory_bulb","ZINB",6.9923273381295
"mouse_olfactory_bulb","ZINB",7.20872122302158
"mouse_olfactory_bulb","ZINB",7.08010071942446
"mouse_olfactory_bulb","ZINB",6.98402697841727
"mouse_olfactory_bulb","ZINB",7.04321223021583
"mouse_olfactory_bulb","ZINB",7.11069604316547
"mouse_olfactory_bulb","ZINB",6.95855215827338
"mouse_olfactory_bulb","ZINB",6.99992625899281
"mouse_olfactory_bulb","ZINB",7.11437230215827
"mouse_olfactory_bulb","ZINB",6.88155395683453
"mouse_olfactory_bulb","ZINB",6.91002697841727
"mouse_olfactory_bulb","ZINB",7.03928956834532
"mouse_olfactory_bulb","ZINB",6.9894964028777
"mouse_olfactory_bulb","ZINB",7.11258273381295
"mouse_olfactory_bulb","ZINB",7.09388309352518
"mouse_olfactory_bulb","ZINB",7.01868525179856
"mouse_olfactory_bulb","ZINB",7.04087949640288
"mouse_olfactory_bulb","ZINB",7.08914028776978
"mouse_olfactory_bulb","ZINB",7.01427877697842
"mouse_olfactory_bulb","ZINB",6.93592446043165
"mouse_olfactory_bulb","ZINB",7.03653956834532
"mouse_olfactory_bulb","ZINB",6.92718345323741
"mouse_olfactory_bulb","ZINB",7.0727535971223
"mouse_olfactory_bulb","ZINB",7.07212949640288
"mouse_olfactory_bulb","ZINB",7.11105395683453
"mouse_olfactory_bulb","ZINB",6.90118165467626
"mouse_olfactory_bulb","ZINB",6.83436690647482
"mouse_olfactory_bulb","ZINB",6.98396043165468
"mouse_olfactory_bulb","ZINB",7.0555071942446
"mouse_olfactory_bulb","ZINB",7.0040035971223
"mouse_olfactory_bulb","ZINB",6.83536690647482
"mouse_olfactory_bulb","ZINB",7.11839388489209
"mouse_olfactory_bulb","ZINB",6.89828237410072
"mouse_olfactory_bulb","ZINB",7.01663309352518
"mouse_olfactory_bulb","ZINB",6.99019424460432
"mouse_olfactory_bulb","ZINB",7.08450899280576
